2025-04-07 13:19:39,823 | 201 Created | Dados enviados com sucesso
2025-04-07 13:19:44,852 | 201 Created | Dados enviados com sucesso
2025-04-07 13:19:49,908 | 201 Created | Dados enviados com sucesso
2025-04-07 13:19:54,942 | 201 Created | Dados enviados com sucesso
2025-04-07 13:19:59,957 | 201 Created | Dados enviados com sucesso
2025-04-07 13:20:04,968 | 201 Created | Dados enviados com sucesso
2025-04-07 13:20:09,980 | 201 Created | Dados enviados com sucesso
2025-04-07 13:20:14,993 | 201 Created | Dados enviados com sucesso
2025-04-07 13:20:20,002 | 201 Created | Dados enviados com sucesso
2025-04-07 13:20:25,018 | 201 Created | Dados enviados com sucesso
2025-04-07 13:20:32,007 | 201 Created | Dados enviados com sucesso
2025-04-07 13:20:43,382 | 201 Created | Dados enviados com sucesso
2025-04-07 13:20:48,395 | 201 Created | Dados enviados com sucesso
2025-04-07 13:20:53,404 | 201 Created | Dados enviados com sucesso
2025-04-07 13:20:58,415 | 201 Created | Dados enviados com sucesso
2025-04-07 13:21:03,423 | 201 Created | Dados enviados com sucesso
2025-04-07 13:21:08,430 | 201 Created | Dados enviados com sucesso
2025-04-07 13:21:13,440 | 201 Created | Dados enviados com sucesso
2025-04-07 13:21:18,449 | 201 Created | Dados enviados com sucesso
2025-04-07 13:21:23,457 | 201 Created | Dados enviados com sucesso
2025-04-07 13:21:28,472 | 201 Created | Dados enviados com sucesso
2025-04-07 13:21:33,480 | 201 Created | Dados enviados com sucesso
2025-04-07 13:21:38,488 | 201 Created | Dados enviados com sucesso
2025-04-07 13:21:43,497 | 201 Created | Dados enviados com sucesso
2025-04-07 13:21:48,507 | 201 Created | Dados enviados com sucesso
2025-04-07 13:21:53,539 | 201 Created | Dados enviados com sucesso
2025-04-07 13:21:58,547 | 201 Created | Dados enviados com sucesso
2025-04-07 13:22:03,557 | 201 Created | Dados enviados com sucesso
2025-04-07 13:22:08,567 | 201 Created | Dados enviados com sucesso
2025-04-07 13:22:13,577 | 201 Created | Dados enviados com sucesso
2025-04-07 13:22:18,583 | 201 Created | Dados enviados com sucesso
2025-04-07 13:22:23,606 | 201 Created | Dados enviados com sucesso
2025-04-07 13:22:28,631 | 201 Created | Dados enviados com sucesso
2025-04-07 13:22:33,641 | 201 Created | Dados enviados com sucesso
2025-04-07 13:22:38,655 | 201 Created | Dados enviados com sucesso
2025-04-07 13:22:43,677 | 201 Created | Dados enviados com sucesso
2025-04-07 13:22:48,690 | 201 Created | Dados enviados com sucesso
2025-04-07 13:22:53,703 | 201 Created | Dados enviados com sucesso
2025-04-07 13:23:02,262 | 201 Created | Dados enviados com sucesso
2025-04-07 13:23:07,271 | 201 Created | Dados enviados com sucesso
2025-04-07 13:23:12,282 | 201 Created | Dados enviados com sucesso
2025-04-07 13:23:17,310 | 201 Created | Dados enviados com sucesso
2025-04-07 13:23:22,321 | 201 Created | Dados enviados com sucesso
2025-04-07 13:23:27,333 | 201 Created | Dados enviados com sucesso
2025-04-07 13:23:32,346 | 201 Created | Dados enviados com sucesso
2025-04-07 13:23:37,364 | 201 Created | Dados enviados com sucesso
2025-04-07 13:23:42,381 | 201 Created | Dados enviados com sucesso
2025-04-07 13:23:47,395 | 201 Created | Dados enviados com sucesso
2025-04-07 13:23:52,407 | 201 Created | Dados enviados com sucesso
2025-04-07 13:23:57,430 | 201 Created | Dados enviados com sucesso
2025-04-07 13:24:02,449 | 201 Created | Dados enviados com sucesso
2025-04-07 13:24:07,458 | 201 Created | Dados enviados com sucesso
2025-04-07 13:24:12,465 | 201 Created | Dados enviados com sucesso
2025-04-07 13:24:17,478 | 201 Created | Dados enviados com sucesso
2025-04-07 13:24:25,642 | 201 Created | Dados enviados com sucesso
2025-04-07 13:24:30,657 | 201 Created | Dados enviados com sucesso
2025-04-07 13:24:35,667 | 201 Created | Dados enviados com sucesso
2025-04-07 13:24:40,677 | 201 Created | Dados enviados com sucesso
2025-04-07 13:24:45,693 | 201 Created | Dados enviados com sucesso
2025-04-07 13:24:50,703 | 201 Created | Dados enviados com sucesso
2025-04-07 13:24:55,715 | 201 Created | Dados enviados com sucesso
2025-04-07 13:25:00,728 | 201 Created | Dados enviados com sucesso
2025-04-07 13:25:05,742 | 201 Created | Dados enviados com sucesso
2025-04-07 13:25:10,749 | 201 Created | Dados enviados com sucesso
2025-04-07 13:25:15,776 | 201 Created | Dados enviados com sucesso
2025-04-07 13:25:20,802 | 201 Created | Dados enviados com sucesso
2025-04-07 13:25:25,829 | 201 Created | Dados enviados com sucesso
2025-04-07 13:25:30,852 | 201 Created | Dados enviados com sucesso
2025-04-07 13:25:35,861 | 201 Created | Dados enviados com sucesso
2025-04-07 13:25:40,881 | 201 Created | Dados enviados com sucesso
2025-04-07 13:25:45,905 | 201 Created | Dados enviados com sucesso
2025-04-07 13:25:50,918 | 201 Created | Dados enviados com sucesso
2025-04-07 13:25:55,927 | 201 Created | Dados enviados com sucesso
2025-04-07 13:26:00,934 | 201 Created | Dados enviados com sucesso
2025-04-07 13:26:05,941 | 201 Created | Dados enviados com sucesso
2025-04-07 13:26:10,950 | 201 Created | Dados enviados com sucesso
2025-04-07 13:26:15,959 | 201 Created | Dados enviados com sucesso
2025-04-07 13:26:20,969 | 201 Created | Dados enviados com sucesso
2025-04-07 13:26:25,977 | 201 Created | Dados enviados com sucesso
2025-04-07 13:26:30,996 | 201 Created | Dados enviados com sucesso
2025-04-07 13:26:36,004 | 201 Created | Dados enviados com sucesso
2025-04-07 13:26:41,011 | 201 Created | Dados enviados com sucesso
2025-04-07 13:26:46,021 | 201 Created | Dados enviados com sucesso
2025-04-07 13:26:51,029 | 201 Created | Dados enviados com sucesso
2025-04-07 13:26:56,041 | 201 Created | Dados enviados com sucesso
2025-04-07 13:27:01,048 | 201 Created | Dados enviados com sucesso
2025-04-07 13:27:06,063 | 201 Created | Dados enviados com sucesso
2025-04-07 13:27:11,073 | 201 Created | Dados enviados com sucesso
2025-04-07 13:27:16,081 | 201 Created | Dados enviados com sucesso
2025-04-07 13:27:21,093 | 201 Created | Dados enviados com sucesso
2025-04-07 13:27:26,105 | 201 Created | Dados enviados com sucesso
2025-04-07 13:27:31,125 | 201 Created | Dados enviados com sucesso
2025-04-07 13:27:36,132 | 201 Created | Dados enviados com sucesso
2025-04-07 13:27:41,141 | 201 Created | Dados enviados com sucesso
2025-04-07 13:27:46,164 | 201 Created | Dados enviados com sucesso
2025-04-07 13:27:51,172 | 201 Created | Dados enviados com sucesso
2025-04-07 13:27:56,180 | 201 Created | Dados enviados com sucesso
2025-04-07 13:28:01,205 | 201 Created | Dados enviados com sucesso
2025-04-07 13:28:06,233 | 201 Created | Dados enviados com sucesso
2025-04-07 13:28:11,240 | 201 Created | Dados enviados com sucesso
2025-04-07 13:28:16,265 | 201 Created | Dados enviados com sucesso
2025-04-07 13:28:21,272 | 201 Created | Dados enviados com sucesso
2025-04-07 13:28:26,279 | 201 Created | Dados enviados com sucesso
2025-04-07 13:28:31,311 | 201 Created | Dados enviados com sucesso
2025-04-07 13:28:36,341 | 201 Created | Dados enviados com sucesso
2025-04-07 13:28:41,347 | 201 Created | Dados enviados com sucesso
2025-04-07 13:28:46,375 | 201 Created | Dados enviados com sucesso
2025-04-07 13:28:51,385 | 201 Created | Dados enviados com sucesso
2025-04-07 13:28:56,410 | 201 Created | Dados enviados com sucesso
2025-04-07 13:29:01,434 | 201 Created | Dados enviados com sucesso
2025-04-07 13:29:06,463 | 201 Created | Dados enviados com sucesso
2025-04-07 13:29:11,472 | 201 Created | Dados enviados com sucesso
2025-04-07 13:29:16,502 | 201 Created | Dados enviados com sucesso
2025-04-07 13:29:21,535 | 201 Created | Dados enviados com sucesso
2025-04-07 13:29:26,544 | 201 Created | Dados enviados com sucesso
2025-04-07 13:29:31,553 | 201 Created | Dados enviados com sucesso
2025-04-07 13:29:36,577 | 201 Created | Dados enviados com sucesso
2025-04-07 13:29:41,587 | 201 Created | Dados enviados com sucesso
2025-04-07 13:29:46,596 | 201 Created | Dados enviados com sucesso
2025-04-07 13:29:51,619 | 201 Created | Dados enviados com sucesso
2025-04-07 13:29:56,629 | 201 Created | Dados enviados com sucesso
